NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING
47,255,1,228,8,20,79,5,167,195,42,3,255,255,255,11,51,3,42,29,49,37,25,17,10,2,6,2,2,2,1,2,1,32,26,17,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
4,255,1,203,22,20,141,6,228,214,44,6,255,254,255,16,16,6,28,25,39,33,24,17,15,8,20,7,5,4,2,2,5,26,21,92,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,255,1,77,15,41,168,8,239,237,76,7,255,255,255,16,1,13,35,28,58,50,30,24,20,16,30,13,15,9,6,8,7,12,26,92,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
9,255,1,216,15,9,80,3,90,204,16,3,255,255,255,3,24,3,39,29,73,52,26,21,11,7,11,4,3,2,1,1,1,31,26,99,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
228,14,55,255,61,77,11,77,228,242,42,112,18,80,28,28,21,143,81,65,112,106,96,51,59,82,112,110,92,145,109,175,177,91,61,92,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,40,11,2,1,16,7,5,1,1,1,1,1,1,1,1,4,16,2,1,77,39,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,20,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,7,9,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,167,121,5,15,50,167,156,139,131,47,22,32,15,12,8,10,9,6,8,47,170,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,42,24,39,1,49,63,48,30,29,21,10,24,28,37,51,70,83,18,1,104,107,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,35,4,2,1,3,2,1,1,1,1,1,1,1,1,1,5,34,3,1,34,13,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,9,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,2,2,1,3,2,1,1,1,1,1,1,1,1,1,4,33,3,1,26,12,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,35,27,7,1,2,1,1,1,1,1,1,1,1,2,6,23,119,22,1,12,5,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,15,2,1,1,4,4,1,1,1,1,1,1,1,1,1,1,3,1,1,12,41,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,24,6,2,1,2,2,1,1,1,1,1,1,1,1,1,4,23,2,1,23,10,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,60,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,9,1,1,23,6,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,69,3,3,1,4,2,1,1,1,1,1,1,1,1,2,5,23,2,1,23,12,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,58,17,21,1,63,28,39,19,22,18,9,20,21,27,27,35,50,8,1,109,52,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,94,51,38,1,43,24,26,18,22,21,20,26,30,47,55,73,88,22,1,84,30,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,38,10,41,3,56,27,29,20,24,24,16,29,35,54,66,83,102,33,2,87,41,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,29,2,8,1,28,22,19,11,6,2,1,4,4,9,12,18,25,6,1,67,71,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,128,2,233,1,151,149,152,145,163,177,169,217,234,250,252,253,252,215,1,150,159,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,110,65,227,1,148,145,144,140,154,165,197,193,217,244,248,249,242,162,1,136,145,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,100,7,38,1,31,40,31,23,27,25,17,29,35,48,55,70,79,14,1,37,60,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,85,4,40,1,50,25,23,19,23,22,16,29,35,56,62,77,88,18,1,67,34,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,112,77,35,1,37,22,21,18,23,24,21,31,40,62,69,87,101,22,1,43,28,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,46,2,86,1,68,48,48,38,49,52,98,70,94,122,122,137,161,39,1,128,47,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,78,34,68,1,86,39,34,29,36,39,29,49,67,94,102,111,142,39,1,107,43,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,54,12,47,1,54,27,26,21,25,26,20,31,37,57,66,83,105,33,1,67,34,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,248,2,255,255,224,133,36,0,1,183,48,244,1,226,103,163,255,2,41,12,13,11,255,16,255,255,255,255,255,25,25,255,1,30,87,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,245,1,100,40,149,140,53,0,254,222,1,159,248,177,117,1,38,7,37,243,243,244,4,248,10,16,26,32,39,254,226,33,6,30,111,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,246,2,116,0,107,209,10,0,254,21,57,250,246,223,30,40,18,2,26,2,1,1,1,8,11,9,18,17,13,18,15,10,2,18,44,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,244,34,165,0,1,183,1,0,254,21,2,241,8,193,30,155,2,4,27,2,2,1,2,2,4,2,2,2,1,1,1,1,7,21,63,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
68,209,226,172,8,46,48,1,195,102,18,0,0,0,215,28,11,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,136,244,172,4,160,112,1,246,43,225,0,0,0,220,38,5,2,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,255,166,30,4,51,5,1,195,93,132,0,0,0,254,20,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
3,201,246,116,8,95,72,1,215,61,144,0,0,0,136,26,5,5,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
20,65,109,255,32,147,112,7,90,147,171,0,0,0,203,48,29,33,33,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
22,118,138,105,22,133,140,9,167,188,137,0,0,0,207,38,22,42,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,255,144,18,4,3,2,1,167,178,38,0,0,0,252,7,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,254,229,22,4,34,9,1,128,104,69,0,0,0,252,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,238,251,100,4,46,10,1,17,57,124,0,0,0,149,36,1,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,253,241,55,4,14,3,1,90,102,66,0,0,0,252,11,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,228,229,180,4,74,83,1,128,10,141,0,0,0,250,33,5,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,254,138,22,4,6,10,1,195,153,59,0,0,0,254,28,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
61,252,215,70,4,20,9,1,54,63,16,0,0,0,239,28,26,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
2,255,149,32,4,6,2,1,128,178,51,0,0,0,252,16,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,253,204,89,4,41,41,1,167,30,73,0,0,0,252,12,6,2,2,3,2,1,1,1,1,1,1,1,1,1,4,22,33,0,0,12,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,251,208,20,4,67,105,1,239,86,105,0,0,0,245,0,1,3,2,0,1,1,1,1,1,1,1,1,1,1,4,36,59,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
2,250,222,14,4,67,93,1,239,87,120,0,0,0,250,67,3,3,2,4,2,1,1,1,1,1,1,1,1,1,6,25,27,0,0,13,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
24,202,176,255,4,37,27,1,167,80,27,0,0,0,202,30,6,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
26,161,211,255,8,51,56,1,128,53,34,0,0,0,210,30,10,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
2,61,224,255,4,63,161,1,90,8,90,0,0,0,222,38,16,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
228,1,74,255,167,229,1,143,54,248,252,0,0,0,24,143,6,53,217,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
4,194,115,74,32,95,161,26,195,188,71,0,0,0,207,52,8,26,26,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,173,144,116,40,63,183,41,167,197,25,0,0,0,210,30,16,42,33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
4,121,57,142,32,98,83,58,253,251,64,0,0,0,112,87,39,42,49,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,168,97,79,32,34,190,39,215,217,21,0,0,0,189,34,8,42,43,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
17,109,74,70,72,109,133,110,228,242,132,0,0,0,166,52,9,147,74,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
7,242,208,40,15,54,58,2,90,147,84,0,0,0,213,26,2,9,19,15,27,24,15,4,1,1,1,6,2,4,6,6,10,0,0,87,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,232,242,58,4,179,14,1,29,153,253,0,0,0,143,26,2,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
92,1,222,255,125,255,1,19,17,147,255,0,0,0,53,177,93,92,209,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
210,1,219,255,125,252,1,24,3,10,255,0,0,0,58,200,163,65,202,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
13,28,6,11,153,166,58,216,253,255,171,0,0,0,61,123,2,232,193,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
5,117,86,79,52,92,126,82,228,241,83,0,0,0,134,42,3,92,77,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,53,24,6,140,149,49,212,239,255,209,0,0,0,71,101,56,223,151,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
255,1,171,255,185,163,1,1,10,131,252,0,0,0,3,199,11,65,190,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
206,114,43,89,40,0,10,58,250,252,21,0,0,0,136,23,1,42,49,57,23,26,22,17,12,16,1,28,14,15,21,17,27,0,0,46,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
34,144,74,55,32,88,88,34,250,244,62,0,0,0,214,94,7,42,51,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
32,139,68,30,32,81,119,42,239,244,146,0,0,0,191,98,93,33,43,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
14,113,48,95,40,54,68,58,250,251,69,0,0,0,132,78,4,42,45,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
